VideoID,Title,Channel,PublishDate,URL,Views,Likes,Comments,Duration_sec
w3ek4cqV374,গ্রামের মানুষ | Fazlur Rahman | Emila| Nadia| Faruque | New Bangla Natok 2025|CD Vision Drama Series,CD Vision Drama Series,2025-07-30T07:40:46Z,https://youtube.com/watch?v=w3ek4cqV374,1028240,2946,49,4209.0
7_2LQJCb1fE,"Gramer Debor Shohorer Vabi | গ্রামের দেবর শহরের ভাবী | Eagle Team | Even, Mim | Bangla Natok 2025",Eagle Premier Station,2025-06-16T09:30:07Z,https://youtube.com/watch?v=7_2LQJCb1fE,4155764,47618,602,2299.0
ykTkc9XfeF4,Prothom Prem | প্রথম প্রেম (Full Drama) | Apurba | Mehazabien | Bangla New Natok 2025,MK Premier Station,2025-07-24T09:00:15Z,https://youtube.com/watch?v=ykTkc9XfeF4,2903776,7740,255,2157.0
SWKnOly5lKY,Mayaboner Horin | মায়াবনের হরিণ | Full Drama | Niloy Alamgir | Heme | Rubel Anush |Bangla Natok 2026,NAF Entertainment,2026-02-05T09:00:09Z,https://youtube.com/watch?v=SWKnOly5lKY,2496948,24282,1321,2671.0
GfjBwHYwGTg,তোমার প্রেমে | Apurbo | Tanjin Tisha | Apurbo new natok 2025 | Bangla new natok 2025,Etim Drama,2025-10-24T11:00:37Z,https://youtube.com/watch?v=GfjBwHYwGTg,657369,2130,38,1816.0
io84ANN58v8,নতুন বউ | Notun Bou | Full Natok | Musfiq R Farhan | Tanjin Tisha | New Bangla Natok 2025,Peacock Fun,2025-11-08T09:01:13Z,https://youtube.com/watch?v=io84ANN58v8,9281726,30335,643,2287.0
bMCLQdagzWs,প্রেম আমার । Prem Amar । Arosh Khan । Fariha Rahman Paru । Full Drama । Adif Hasan । New Natok 2026,Captain's Drama,2026-01-08T09:01:03Z,https://youtube.com/watch?v=bMCLQdagzWs,11723113,165733,9239,2510.0
8HoU7kb8Ezc,Top 10 Crush Bangladeshi Natok Actresses In 2025 | New Bangla Natok 2025 #natok2025 #shorts,Top 10 Most Facts,2025-07-02T16:30:10Z,https://youtube.com/watch?v=8HoU7kb8Ezc,623607,10551,233,38.0
Er2CMAOjOjI,চাকরিজীবী বউ । Chakurijibi Bou | Mosharraf Karim | Tanjin Tisha | New Bangla Natok 2025,CMV Entertainment,2025-09-02T13:15:47Z,https://youtube.com/watch?v=Er2CMAOjOjI,3303281,14699,481,2351.0
ljU6dGfZIwk,গোলমরিচ | Afran Nisho | Mehazabien | Bangla Natok 2024,CMV Entertainment,2024-11-11T13:40:59Z,https://youtube.com/watch?v=ljU6dGfZIwk,1076964,14923,33,17.0
_xGSCuYHVWs,জামাই যখন লুকিয়ে আসে | বউয়ের বাড়ি | Jovan | Keya Payel |  New Bangla Natok 2024,CMV Entertainment,2024-09-11T11:00:41Z,https://youtube.com/watch?v=_xGSCuYHVWs,13044849,137150,335,12.0
kkkJeMYNgv0,প্রবাসীর নসিব | Probashir Nosib | Full Natok | Sabuj Ahmed | Rabina Rafin | Bangla New Natok 2025,MADFLIX,2025-10-27T13:01:27Z,https://youtube.com/watch?v=kkkJeMYNgv0,3553291,15235,670,2712.0
0wEkNzsjgo0,Hotobhaga | হতভাগা | Full Drama | Asraf Supto | Maimuna Momo | New Bangla Natok 2026,Water Lily Entertainment,2026-02-07T09:00:02Z,https://youtube.com/watch?v=0wEkNzsjgo0,170237,891,37,2454.0
mK_0iZ9qJR0,বউ অফিসার জামাই কর্মচারি | Full Drama | Niloy Alamgir | Heme | Bangla New Natok 2025,Niloy Alamgir,2025-12-06T09:01:28Z,https://youtube.com/watch?v=mK_0iZ9qJR0,5102769,28492,686,2468.0
NDEywKzAMBM,বিবাহ বিচ্ছেদ । Bibaho Bichched | Afran Nisho | Mehazabien | New Bangla Natok 2025,CMV Entertainment,2025-10-22T10:59:46Z,https://youtube.com/watch?v=NDEywKzAMBM,758732,3552,301,1915.0
osSA3F52zDo,বিদ্রোহী সতীন | Bidrohi Sotin | Full Drama | Sabuj Ahmed | Saba Susmita | Mawa |New BanglaNatok 2026,Jago Bangla Drama,2026-01-30T09:01:17Z,https://youtube.com/watch?v=osSA3F52zDo,668700,5770,155,2492.0
Fhx0hPbJ-Ls,Ural Ponkhi | উড়াল পঙ্খী | Full Drama | Iftekhar Ifti | Tasnova Nijhum | New Bangla Natok 2026,Jago Bangla Drama,2026-02-06T09:00:06Z,https://youtube.com/watch?v=Fhx0hPbJ-Ls,459732,7249,144,3167.0
Z165Y-cdVtE,বাংলা নাটক — অতঃপর তাহারা | Otoppor Tahara | Full Drama / Bangla Natok 2025 | Shajal Noor | Mamo,SRK TV+,2025-10-30T16:00:07Z,https://youtube.com/watch?v=Z165Y-cdVtE,1041130,7142,346,2413.0
cRljXDg5ZQE,"Paglu | পাগলু | Full Natok | Mosharraf Karim, Safa Kabir, Salman Rahman Khan | Bangla New Natok 2025",G Series Bangla Natok,2025-10-30T13:01:23Z,https://youtube.com/watch?v=cRljXDg5ZQE,4082602,41267,1553,2633.0
hX0XxhJXyd4,Bachelorer Bou (ব্যাচেলরের বউ) | Rafsun Imtiaj | Maya Rahman |New Bangla Natok 2025 | Humayun Kabery,NTV Natok,2025-10-31T09:00:07Z,https://youtube.com/watch?v=hX0XxhJXyd4,3936220,19359,219,2624.0
IU7JmC-geyY,Batpar Jamai | Full Natok | বাটপার জামাই | Zaher Alvi | Samonty Shoumi | New Bangla Natok 2025,Jago Entertainment,2026-01-01T09:00:27Z,https://youtube.com/watch?v=IU7JmC-geyY,742352,6756,101,2752.0
yvqo32o1-rc,Ex Jokhon Dadi | এক্স যখন দাদি | New Bangla Natok 2025 | Jamil Hossain│Moonmoon Ahmed│Bengali Drama,Bongo,2025-12-26T08:00:06Z,https://youtube.com/watch?v=yvqo32o1-rc,1892298,10637,147,2535.0
NPPdMMRAL0Y,আদরের চাঁদ | Adorer Chad | Khairul Basar & Tanjin Tisha | Bangla New Natok | Full HD Drama,Bongo Boom,2026-01-15T08:00:24Z,https://youtube.com/watch?v=NPPdMMRAL0Y,724755,4218,135,2481.0
hPOzHyNDYv0,Fire Asha | ফিরে আসা | Full Natok | Arosh Khan | Samira Khan Mahi | New Bangla Natok 2025,HIA Entertainment,2025-12-11T11:00:28Z,https://youtube.com/watch?v=hPOzHyNDYv0,10961448,94948,2841,3160.0
Xezu93IzNic,Mayer Songshar | Full Drama | মায়ের সংসার | Sabuj Ahmed | Saba Susmita | Reejvina |Bangla Natok 2025,CD Choice Entertainment,2025-12-04T09:00:07Z,https://youtube.com/watch?v=Xezu93IzNic,964760,6120,122,2212.0
8oYcj-yn3GU,New Natok 2025 Full |Niloy Alomgir Heme |বাংলা নাটক শহরের মেয়ে যখন গ্রামের বউ হয় 4 নিলয় হিমি |bang,বিডি কাউয়া টিভি,2025-08-07T09:11:08Z,https://youtube.com/watch?v=8oYcj-yn3GU,3392609,5478,102,3683.0
